is_sarcastic	headline
1	thirtysomething scientists unveil doomsday clock of hair loss
0	dem rep. totally nails why congress is falling short on gender, racial equality
0	eat your veggies: 9 deliciously different recipes
1	inclement weather prevents liar from getting to work
1	mother comes pretty close to using word 'streaming' correctly
0	my white inheritance
0	5 ways to file your taxes with less stress
1	richard branson's global-warming donation nearly as much as cost of failed balloon trips
1	shadow government getting too large to meet in marriott conference room b
0	lots of parents know this scenario
0	this lesbian is considered a father in indiana (and an amazing one at that)
0	amanda peet told her daughter sex is 'a special hug'
0	what to know regarding current treatments for ebola
0	chris christie suggests hillary clinton was to blame for boko haram's kidnapping of hundreds of schoolgirls
1	ford develops new suv that runs purely on gasoline
0	uber ceo travis kalanick stepping down from trump economic advisory council
1	area boy enters jumping-and-touching-tops-of-doorways phase
1	area man does most of his traveling by gurney
0	leave no person with disabilities behind
0	lin-manuel miranda would like to remind you to put your phone away
0	60 journalists killed in 2014 as targeting of international press rises
1	guard in video game under strict orders to repeatedly pace same stretch of hallway
0	how to live to be 110
0	cat so scared in shelter won't even look at you
0	bill clinton shoots down republicans: 'i strongly supported' obamacare
1	secret service agent not so secret about being david alan grier fan
0	this new orange era: the growing divide
0	things learned in the first month of having a baby
0	lamelo ball scores 92 points in a single high school basketball game
0	i'm bi. it took me 21 years to come out of the closet and say it.
0	10 essential life lessons from a grandma
0	teenage gunfight with isis
0	older but still young at heart
1	leading probability researchers confounded by three coworkers wearing same shirt color on same day
1	new york introduces shoe-sharing program for city's pedestrians
0	beyonc\u00e9 sculpted in cheese is strangely alluring
1	expansive obama state of the union speech to touch on patent law, entomology, the films of robert altman
0	stars with gray hair prove getting older isn't all that bad
0	police say woman made up story of attack by two men, one wearing a trump hat (update)
1	naacp demands less minority representation on upn
0	the best clothes for the man-child in your life
0	florist who turned away gay couple wants supreme court to hear her case
0	we're still processing that ending to the walking dead \"strangers\"
0	new google project delivers critical info to refugees' smartphones
1	new history textbook makes hatred of history come alive for students
0	10 ways ridiculously successful people think differently
1	report: bridge probably has whole mess of bats under there
0	texas republicans urge trump-style immigration crackdown
0	tom hanks brags how 'smokin' hot' rita wilson is after 29 years of marriage
1	god getting strong urge to bring back dinosaurs
0	lgbt christians speak out: \"love the sinner, hate the sin\" won't cut it anymore
1	handshake comes in at unusually high angle, velocity
1	mom keeps sending newspaper clippings about former classmates who have been murdered
1	report: make it stop
1	coed rec softball team having trouble finding enough hyper-competitive men to ruin experience
1	brutalist beaver constructs paul rudolph-inspired dam
0	jindal: westboro baptist members who protest funerals face arrest
0	gop congressman may not vote for president at all
0	donald trump's latest attempt to repeal obamacare makes seth meyers sick
1	suicide bombing: can parents spot the warning signs?
1	state department warns americans traveling abroad to avoid lame amsterdam windmill tour
0	meatless monday: portuguese mashup
0	you can now message the president on facebook
1	families of missing flight passengers just hoping media gets closure it needs
1	fender releases new hybrid gas-electric guitar
1	romney volunteers going door-to-door to let obama supporters know president's dead
0	friday talking points -- prelude to silly season
0	meet sparkle, the 2-year-old who's your next style crush
1	hollywood's biggest stars endure long lines at oscars security screening
0	congresswoman fights for gun control because she almost lost her life to gun violence
0	how to raise kids who can 'love and be loved'
0	want to make meetings more productive? start walking
0	elizabeth warren's pick wins ohio's democratic gubernatorial primary
0	biting argument over trump may cost man his ear
1	longtime reader of lib-slaves.info sick of mainstream bias on sites like wideawakepatriot.com
1	beijing fire department extinguishes massive five-alarm burning cloud of smog
0	china intensifies pressure on north korea
0	defiant sanders camp: it ain't over
0	when the sheep are watching over your mind
0	first up at the toronto film festival: jake gyllenhaal's 'demolition,' the stunning 'lobster' and more
0	super pac men: how political consultants took a texas oilman on a wild ride
1	'active shooter at large,' reports endless background hum of modern american life
